,name,iou,acc,precision,recall,pos,neg,tp,tn,fp,fn
20,m_3907641_ne_18_1_20170609_inference_,0.0,0.9999767923066729,0.0,,0,47268808,0,47267711,1097,0
21,m_3807641_nw_18_1_20170716_inference_,,1.0,,,0,47867536,0,47867536,0,0
22,m_3907721_ne_18_1_20170628_inference_,0.0,0.999977306197238,0.0,,0,47546020,0,47544941,1079,0
23,m_3907624_se_18_1_20170709_inference_,0.0,0.9999871657700309,0.0,,0,46204564,0,46203971,593,0
24,m_3807537_sw_18_1_20170611_inference_,0.5457013782894484,0.9987243680484293,0.8747310572064374,0.5919627256843332,120190,46312482,71148,46302293,10189,49042
25,m_3907624_sw_18_1_20170611_inference_,0.0,0.9999005017474569,0.0,,0,46332472,0,46327862,4610,0
26,m_3807502_se_18_1_20170609_inference_,0.013901005120424805,0.9988806159722928,0.9243379571248423,0.013916840706284413,52670,46398770,733,46398710,60,51937
27,m_3807525_ne_18_1_20170611_inference_,0.6933036665325348,0.9997226464354898,0.8873337574600867,0.7602263289036545,38528,46678016,29290,46674297,3719,9238
28,m_3907661_se_18_1_20170611_inference_,0.0,0.9991636717798714,0.0,,0,46992316,0,46953015,39301,0
29,m_3907654_se_18_1_20170611_inference_,0.0,0.9915926552763956,0.0,,0,46772080,0,46378851,393229,0
30,m_3807627_se_18_1_20170626_inference_,0.0,0.999726038383045,0.0,,0,47433652,0,47420657,12995,0
31,m_3907661_ne_18_1_20170611_inference_,0.0,0.8598495531951386,0.0,,0,46900564,0,40327429,6573135,0
32,m_3807551_sw_18_1_20170611_inference_,0.5478775651065864,0.9992718653312985,0.944055624170898,0.5662624156286012,72892,46706916,41276,46704470,2446,31616
33,m_3907637_se_18_1_20170611_inference_,0.0,0.9990933903070007,0.0,,0,46799632,0,46757203,42429,0
34,m_3807739_nw_18_1_20170731_inference_,,1.0,,,0,48072112,0,48072112,0,0
35,m_3907643_se_18_1_20170611_inference_,0.0,0.9961835775191588,0.0,,0,47066068,0,46886444,179624,0
36,m_3807510_nw_18_1_20170611_inference_,0.7524339360222532,0.9998009338216792,0.8054052506513213,0.9196168807819294,30591,46466509,28132,46459712,6797,2459
37,m_3807534_sw_18_1_20170611_inference_,0.0,0.9913693563820196,0.0,,0,46853632,0,46449255,404377,0
38,m_3907626_sw_18_1_20170609_inference_,0.0,0.9998489822439471,0.0,,0,47093800,0,47086688,7112,0
39,m_3907650_se_18_1_20170716_inference_,0.0,0.9958658467765475,0.0,,0,47277880,0,47082426,195454,0
40,m_3807724_ne_18_1_20170716_inference_,,1.0,,,0,47720584,0,47720584,0,0
41,m_3807558_se_18_1_20170611_inference_,0.4061378715897929,0.9987358509695194,0.5756701851088918,0.5796724125599028,69905,46801151,40522,46771282,29869,29383
42,m_3907659_se_18_1_20170626_inference_,0.0,0.9997429662185625,0.0,,0,47203912,0,47191779,12133,0
43,m_3907651_sw_18_1_20170716_inference_,0.0,0.9958187018126021,0.0,,0,47194912,0,46997576,197336,0
44,m_3807554_ne_18_1_20170611_inference_,0.6133969018816064,0.9995081017069342,0.9232360376924845,0.6463626124112778,55933,46266651,36153,46263645,3006,19780
45,m_3807539_nw_18_1_20170611_inference_,0.1552555234444771,0.9967027417596042,0.9038039266339447,0.15786416090424032,177298,46008954,27989,46005975,2979,149309
46,m_3907641_sw_18_1_20170609_inference_,0.0,0.999629328088737,0.0,,0,47351848,0,47334296,17552,0
